Project_ID,Length_km,Voltage_kV,Terrain,Estimated_Cost,Actual_Cost,Planned_Duration,Actual_Duration,Weather_Risk,Contractor_Experience,Material_Cost_Index,Labor_Availability
P00001,103,765,Hilly,131263200.0,184409716.38,17,23,Medium,9,1.18,61
P00002,33,400,Hilly,35164800.0,46817772.33,14,18,Medium,10,1.48,77
P00003,224,765,Plain,278208000.0,349409703.81,26,32,Low,6,1.38,64
P00004,221,132,Hilly,64178400.0,86264884.88,9,12,Medium,7,1.21,89
P00005,244,400,Desert,233508000.0,278801566.85,23,27,Medium,3,1.45,84
P00006,35,400,Hilly,37548000.0,54242661.5,8,11,Low,3,1.49,93
P00007,334,400,Forest,369938400.0,450845661.01,22,26,Low,17,1.42,63
P00008,158,400,Forest,136796400.0,192546034.08,17,23,Medium,18,1.11,94
P00009,260,132,Forest,84500000.0,135737956.93,29,46,High,15,1.25,73
P00010,244,765,Forest,362559600.0,473023497.53,18,23,Low,16,1.27,84
P00011,217,765,Forest,375757200.0,458606770.56,18,21,Medium,15,1.48,56
P00012,178,220,Desert,70585900.0,103533102.67,27,39,High,16,1.03,69
P00013,188,765,Forest,241956000.0,319065381.29,27,35,Medium,5,1.1,76
P00014,58,132,Hilly,14059200.0,20730733.88,13,19,High,17,1.01,57
P00015,204,765,Plain,247860000.0,295887542.97,14,16,Medium,16,1.35,59
P00016,124,400,Hilly,110707200.0,166932371.97,17,25,High,5,1.24,89
P00017,68,765,Forest,101836800.0,134046529.83,27,35,High,14,1.28,81
P00018,155,220,Hilly,87885000.0,109112736.76,27,33,Medium,15,1.35,76
P00019,261,765,Forest,433625400.0,640350434.54,8,11,High,13,1.42,69
P00020,39,220,Forest,21294000.0,28666189.49,30,40,Low,5,1.2,55
P00021,140,220,Hilly,68208000.0,83590219.22,26,31,High,12,1.16,93
P00022,166,765,Forest,246659400.0,394632762.47,29,46,High,12,1.27,95
P00023,66,220,Hilly,34095600.0,53160650.22,8,12,Low,4,1.23,67
P00024,304,132,Plain,84512000.0,127565404.6,11,16,High,13,1.39,68
P00025,345,400,Desert,327888000.0,358252813.87,28,30,Low,12,1.44,91
P00026,152,400,Hilly,124761600.0,178604846.48,26,37,Medium,8,1.14,59
P00027,240,132,Forest,91104000.0,124463536.34,12,16,Low,12,1.46,76
P00028,163,220,Forest,91222950.0,112609915.62,24,29,Medium,3,1.23,80
P00029,167,220,Forest,101819900.0,148550836.41,10,14,Medium,3,1.34,69
P00030,233,400,Desert,229132200.0,253810152.98,23,25,Medium,13,1.49,64
P00031,346,765,Forest,530314200.0,655387584.67,12,14,Medium,14,1.31,75
P00032,83,132,Desert,20816400.0,22296661.65,25,26,Low,13,1.14,60
P00033,220,765,Plain,257400000.0,322614301.85,23,28,Low,15,1.3,62
